SSN,Longitude,Latitude,Region,Country,Site,Cluster,Plot,Depth,Clay_2um,Clay_8um,Clay_20um,Clay_63um,Total_C,CORG,CINORG,Total_N,pH,Am_Ox_Al,Am_Ox_Fe,Am_Ox_Mn,Am_Ox_P,Olsen_P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,VegStructure,Date,Altitude,Accuracy,SlopeDn,SlopeUp,MajLform,LformDes,PosTopoSeq,ArtSurface,VegCovLT40,PlotFlood,PlotCultMgd,Trees,Shrubs,Graminoids,Forbs,VegOther,Broadleaf,Needleleaf,Allophytic,Evergreen,Deciduous,WdCovRate1,WdCovRate2,WdCovRate3,WdCovRate4,HerbCovRate1,HerbCovRate2,HerbCovRate3,HerbCovRate4,VegStrataDescr,SameLanduse90,UseFoodBeverage,UseForage,UseTimberFuelwood,UseOther,LandUseHistory,RockCover1,RockCover2,RockCover3,RockCover4,Erosion1,Erosion2,Erosion3,Erosion4,SoilConservation,SWCStructures,SWCDescr,AugDepth1,AugDepth2,AugDepth3,AugDepth4,Notes,Delta14C,Delta14C_err,F14C,F14C_err,TurnoverTime,Delta13C,SSN.XRPD,Quartz,Clay_1_1,Clay_2_1,Amorphous,Pedogenic_Oxides,Feldspars,LIG_N,SoilTMP_C,SoilMoi_kgm2,SoilMoi_m3m3,Litterfall.gC.m2.yr,Litterroot.gC.m2.yr,NPP.gC.m2.yr,NPP.gC.m2.d,clay_extracted,bd_extracted,silt_extracted,MAT,MAP,PET,npp_modis,socs,sm,stemp
icr005987,36.09425354,-6.86272192,East Africa,Tanzania,Chinyanghuku,4,3,Topsoil,6.792,28.287,43.787,60.004,2.11,2.11,0,0.19,7.18,747.6002733,699.2921823,186.4230652,53.94366304,4.84,18.59,8.59,0.444844358,1.522843319,0.06272227,5.553426896,17294.36391,3225.576098,7.455236698,21.04092441,9.366990242,13554.60321,3447.028393,2786.810417,291.5424675,142.9693638,15.769691,172.9737307,11.31408123,182.1692311,25.219139,Woodland,10-12-09,947,2.2,24,28,Steep,High gradient hill,Midslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,3,3,3,3,2,2,2,2,woodland with starculia; comifora mellifera pauli; sparse under growth,Yes,0,1,1,0,fuelwood and grazing woodland; with rocky slope,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,20,20,10,10,no sub soils big rocks,NA,NA,NA,NA,NA,NA,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,20.60163272,24.98632622,188.7527632,0.24726612,371.51,107.3944921,478.9044921,1.312067102,28,1.31,14,23.10833331,550,1974,0.8639,5.5282,0.213060722,28.07636261
icr005988,36.0972023,-6.86873007,East Africa,Tanzania,Chinyanghuku,4,4,Topsoil,4.414,22.009,34.767,48.193,1.85,1.85,0,0.17,7.52,1006.810929,1312.476571,275.9655435,43.33068441,6.26,34.51,9.54,0.65207495,2.027403709,0.07496224,5.072384863,18259.28175,4202.455358,12.27497472,43.41294594,13.14518526,23144.54757,4283.509485,4025.372051,463.0056224,203.5356121,21.84460531,188.3496299,8.107575525,156.4917281,37.77477789,Shrubland,10-12-09,837,1.7,26,34,Steep,Medium gradient hill,Midslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,2,3,2,2,2,2,2,shrub land on a rocky hill dominated by acacia mellifera and senegal and comifora ; with big rocks,Yes,0,1,1,0,fuelwood and timber; mostly rocky slope,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,10,20,20,16,no sub soils on a rocky hill,NA,NA,NA,NA,NA,NA,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,19.88391681,24.98632622,188.7527632,0.266141396,371.51,74.30200111,445.8120011,1.221402743,26,1.41,15,23.28333334,549,1981,0.840128571,5.217,0.213060722,28.07636261
icr005989,36.09580612,-6.86867285,East Africa,Tanzania,Chinyanghuku,4,7,Topsoil,14.222,38.328,51.22,61.642,1.99,1.96,0,0.19,7.97,1430.850607,1847.261519,296.486632,128.6402109,15.92,52.27,17.93,0.645773611,3.35804912,0.086571555,19.89211142,29097.39704,7438.476924,14.26349656,43.91007701,20.04056104,32772.05354,5529.375308,6821.563811,492.054807,222.1810486,18.18310654,405.9861256,6.793161929,192.3392127,48.51249303,Grassland,10-12-09,852,1.7,30,35,Steep,Medium gradient hill,Midslope,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,2,2,2,2,resently converted land for agricultural production; rocks; few scattered shrubs mainly stanted acacia tortilis regenerating,No,0,1,1,0,converted land for agricultural production but presently fallow,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,10,18,12,15,destroyed land for agricultural production ;,NA,NA,NA,NA,NA,NA,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,10.31141061,24.98632622,188.7527632,0.251041175,371.51,74.30200111,445.8120011,1.221402743,24,1.33,14,23.28333334,549,1981,0.840128571,5.2136,0.213060722,28.07636261
icr005990,36.10004807,-6.86531687,East Africa,Tanzania,Chinyanghuku,4,8,Topsoil,7.704,25.829,37.188,50.921,1.12,1.12,0,0.11,7.15,1037.901353,719.0482567,155.3486041,12.46809531,4.28,20.48,4.72,0.402391759,1.15811997,0.063307822,6.295663214,19993.89798,2703.986028,6.417495487,14.16881865,7.259903673,16497.10322,3577.734561,2972.137889,276.3496508,155.4846469,9.477856257,121.4242372,4.264911694,104.28648,28.41319175,Shrubland,10-12-09,821,2.1,5,4,Sloping,Ridges,Ridge/Crest,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,2,2,2,1,1,1,1,shrubland but presently destroyed; dominanted by greullia bicola and gesticiar,No,0,1,1,0,currently fallow; grazing and eroding,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,10,35,20,10,,78.8,2,1.088,0.002,72,-22.81,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,19.88391681,24.98632622,188.7527632,0.277466562,371.51,77.85320081,449.3632008,1.231132057,21,1.47,13,23.2874999,545,1970,0.779728571,3.2928,0.213060722,28.07636261
icr005995,36.10052872,-6.86662817,East Africa,Tanzania,Chinyanghuku,4,12,Topsoil,19.798,51.92,60.893,69.093,0.53,0.53,0,0.06,6.69,1820.714226,1064.814535,186.8302943,-97.12931699,1.04,32.9,7.44,0.605683703,1.983468204,0.130833119,11.18960193,32073.52886,2737.157345,11.07007897,65.19765928,17.50430769,24926.37548,3098.05696,3899.847155,320.4670774,211.7725645,29.27433132,49.01098591,7.266630035,55.43700282,30.08877622,Other,10-12-09,807,1.8,7,10,Sloping,Low gradient footslope,Footslope,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,resently converted land with scattered acacia tortilis and nilotica and croton sp,No,0,1,1,0,degraded site; with tree stumps; for fuelwood and timber; grazing,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,20,20,30,10,alternative plot;,NA,NA,NA,NA,NA,NA,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,18.74832657,24.98632622,188.7527632,0.271803979,371.51,77.85320081,449.3632008,1.231132057,22,1.44,14,23.2874999,545,1970,0.779728571,1.5264,0.213060722,28.07636261
icr005997,36.10046768,-6.86088324,East Africa,Tanzania,Chinyanghuku,4,15,Topsoil,11.458,32.915,48.782,63.433,3.03,3.03,0,0.26,7.41,1079.256274,1285.256807,221.9583833,69.90306503,4.86,29.28,12.9,0.704054645,2.594064656,0.053976123,12.47422723,26582.83222,4951.082978,12.9767734,48.67062698,14.70596499,21477.15817,5793.580474,5528.655786,384.7916757,118.6978388,29.40682873,210.323966,8.72663153,255.8325082,31.82877183,Other,10-12-09,870,3.2,22,20,Steep,Ridges,Ridge/Crest,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,2,2,2,1,1,1,1,woodland with acacia mellifera; gesticiar sp dominant comifora,Yes,0,1,1,0,dominant with gesticiar shrubs and; mellifera pauli; firewood and timber and grazing land,1,1,1,1,Rill,Sheet,Rill,Rill,None,0,,20,10,20,20,,NA,NA,NA,NA,NA,NA,icr005985,55.1344,0,6.0671,0,3.1864,31.6176,18.74832657,24.98632622,188.7527632,0.258591286,371.51,73.72934232,445.2393423,1.219833815,24,1.37,12,23.2874999,545,1970,0.825814286,8.3022,0.213060722,28.07636261
icr006000,36.12515259,-6.93443298,East Africa,Tanzania,Chinyanghuku,5,2,Topsoil,5.633,25.234,38.085,50.659,0.92,0.92,0,0.09,7.24,955.6109792,1521.670923,257.2640369,64.97531231,7.18,25.5,5.55,0.477607423,1.298053047,0.062352044,1.831107198,21740.31854,5958.20163,14.37168984,35.1445955,8.056922709,27352.05205,7731.514194,7875.643387,549.8422102,305.1959029,12.0890563,242.1852418,5.937560082,83.49852811,46.43766064,Other,16-12-09,946,1.7,24,28,Steep,Medium gradient hill,Ridge/Crest,0,0,0,0,1,1,0,0,0,1,0,0,1,1,2,2,2,2,0,0,0,0,rocky shrubland; with acacia nilotica; mellifera; tortilis,Yes,0,1,1,0,currently grazing land fuelwood and timber,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,30,15,10,20,,NA,NA,NA,NA,NA,NA,icr005998,18.9104,0,5.1151,1.8269,5.8814,48.8022,27.18524253,24.98632622,188.7527632,0.258591286,371.51,245.0701691,616.5801691,1.689260737,23,1.37,13,22.37083332,576,1892,0.8526,2.5208,0.237058774,27.59108925
icr006010,36.12462234,-6.93586206,East Africa,Tanzania,Chinyanghuku,5,10,Topsoil,12.733,31.062,43.813,56.505,1.24,1.24,0,0.12,7.15,1013.854982,1558.623979,191.8098977,68.97865042,7.02,28.77,7.39,0.493436906,2.761718618,0.032543859,9.389196474,24159.01889,4928.275397,12.91854687,31.96232858,8.249869856,28902.58678,8253.856147,8592.482357,463.1554306,229.5186166,11.09459996,229.5043119,5.667735965,111.9181711,47.7199623,Other,16-12-09,939,1.7,24,22,Steep,Medium gradient hill,Midslope,0,0,0,0,1,1,0,1,0,1,0,0,1,1,2,2,2,2,1,1,1,1,woodland;sparse ground cover; acacia nilotica ; delonix elata and croton sp,Yes,0,1,1,0,currently grazing land fuelwood,2,2,2,2,Rill,Rill,Rill,Rill,None,0,,10,10,7,10,,NA,NA,NA,NA,NA,NA,icr005998,18.9104,0,5.1151,1.8269,5.8814,48.8022,21.21609908,24.98632622,188.7527632,0.252928703,371.51,245.6678724,617.1778724,1.690898281,25,1.34,14,22.32083329,573,1887,0.862614286,3.3232,0.237058774,27.59108925
icr006021,36.1230278,-6.91457701,East Africa,Tanzania,Chinyanghuku,6,4,Topsoil,11.38,29.785,39.908,53.864,0.49,0.49,0,0.05,7.82,934.4405483,1064.460505,164.9376076,0.787397113,2.94,25.34,4.63,0.361076796,1.029091419,0.065893604,3.357806526,20677.74084,3747.802554,7.500100851,19.97198443,7.705658731,17730.11659,3643.642825,3152.589454,315.9164465,130.1404031,7.733638013,107.5919611,5.917164016,57.80405335,23.00907185,Other,09-12-09,834,1.5,1.5,1.5,Level,Valley floor,Bottomland,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,severely eroded; bare surface,No,0,0,1,0,continued destroyed but formerly woodland; fuelwood;,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,50,50,20,50,,NA,NA,NA,NA,NA,NA,icr006015,37.88,5.2596,3.9326,2.259,5.1272,32.1156,27.18524253,24.98632622,188.7527632,0.273691507,371.51,257.3860199,628.8960199,1.723002794,21,1.45,19,23.03333326,567,1932,0.644771429,1.421,0.213060722,28.07636261
icr006027,36.12083817,-6.91070986,East Africa,Tanzania,Chinyanghuku,6,7,Topsoil,13.983,26.142,32.603,38.89,0.56,0.56,0,0.05,6.91,1378.566699,1278.261708,174.965312,-71.6539536,2.3,34.53,3.96,0.757299137,1.226495863,0.155207929,12.06657644,24927.51928,2411.389825,9.709758578,27.29466094,11.00158932,21550.07234,4207.526306,3939.103081,335.7531208,170.4631331,8.893855349,78.55102341,7.975478113,53.65958042,26.25094906,Other,08-12-09,827,1.4,1.5,2.5,Sloping,Valley floor,Footslope,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,degraded animal patch; severely eroded; with scattered acacia tortilis and bosia sp,No,0,1,1,1,animal way; fuelwood and grazing,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,30,38,50,40,animals way,NA,NA,NA,NA,NA,NA,icr006015,37.88,5.2596,3.9326,2.259,5.1272,32.1156,34.48656825,24.98632622,188.7527632,0.27935409,371.51,258.4417439,629.9517439,1.725895189,21,1.48,16,23.03333326,567,1932,0.626071429,1.6576,0.213060722,28.07636261
icr006041,36.11659622,-6.88918018,East Africa,Tanzania,Chinyanghuku,7,4,Topsoil,3.221,7.777,10.678,13.718,0.3,0.3,0,0.02,7.22,673.415187,645.3258526,116.070368,-15.5114924,2.96,21.28,2.46,0.320090716,0.837842836,0.050284835,0.600977058,11516.45023,1700.624995,4.357617995,14.11957311,4.377750263,9234.867331,1610.31831,1300.089788,187.7177052,143.2709297,4.039483566,68.30274458,4.793759616,24.1873152,11.00719275,Cropland,08-12-09,786,1.6,2,2.5,Sloping,Valley floor,Bottomland,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,agricultural field presently fallow; scattered albizia sp; few acacia sp,No,1,1,0,0,its agricultural land; grazing,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,50,50,50,50,ridge plot for planting; sandy soil,NA,NA,NA,NA,NA,NA,icr006035,53.1739,0,0,0,3.5648,32.467,9.277812168,24.98632622,188.7527632,0.273691507,371.51,256.8952043,628.4052043,1.721658094,23,1.45,17,23.38749981,561,1961,0.711785714,0.87,0.213060722,28.07636261
icr006058,36.12046432,-6.86254215,East Africa,Tanzania,Chinyanghuku,8,3,Topsoil,4.997,13.883,19.706,27.912,0.34,0.34,0,0.03,6.74,909.821022,1375.463864,42.62717364,-20.37469616,2.46,13.91,1.33,0.184496262,0.375842669,0.0368821,0.054960624,11337.7699,707.9343431,2.938076918,12.99393348,1.5343214,12580.6913,1339.707316,1046.986517,102.4993117,191.6907243,4.036878617,45.07303049,4.808469782,22.57443263,12.6000825,Cropland,06-12-09,795,1.6,10,12,Sloping,Low gradient footslope,Footslope,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,2,2,2,2,fallow land dominated by casia sp; with acacia sp; with different herbs germinating,No,1,1,0,0,previously crop land;but currently fallow,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,50,50,50,50,sandy soil did cummass to 1 meter,NA,NA,NA,NA,NA,NA,icr006055,33.4773,8.0265,7.6508,2.5999,4.6997,30.0589,9.277812168,24.98632622,188.7527632,0.273691507,371.51,81.95073595,453.4607359,1.242358181,23,1.45,14,23.21249998,553,1947,0.802771429,0.986,0.213060722,28.07636261
