"","SSN","Soil_Organic_Carbon_kg_m2","Type"
"58","icr021103",9.2744691905103,"MIMICS"
"59","icr021123",9.45983116793233,"MIMICS"
"60","icr024956",14.3155561519933,"MIMICS"
"61","icr024976",12.4710082945992,"MIMICS"
"62","icr024994",13.9589151746588,"MIMICS"
"63","icr025016",11.7051421826064,"MIMICS"
"64","icr030033",28.4681615583674,"MIMICS"
"65","icr030037",21.8093477977844,"MIMICS"
"66","icr030039",23.597056872544,"MIMICS"
"67","icr030043",22.9616462996769,"MIMICS"
"68","icr030051",23.8768810929844,"MIMICS"
"69","icr030055",24.1396129527358,"MIMICS"
"70","icr030063",15.3781751945108,"MIMICS"
"71","icr030083",24.959706675692,"MIMICS"
"72","icr030097",31.5795167547048,"MIMICS"
"73","icr030101",27.4859165361464,"MIMICS"
"74","icr030113",15.2716553190999,"MIMICS"
"75","icr030115",13.9883639207315,"MIMICS"
"76","icr030119",16.1540299474994,"MIMICS"
"77","icr030123",15.6926950482194,"MIMICS"
"78","icr030127",26.6059943805305,"MIMICS"
"79","icr030129",18.3031979998341,"MIMICS"
"80","icr030131",17.5918333400611,"MIMICS"
"81","icr030133",19.405737975911,"MIMICS"
"82","icr030137",16.9575630724743,"MIMICS"
"83","icr030139",17.8298122117022,"MIMICS"
"84","icr030145",33.5054231126713,"MIMICS"
"85","icr030174",16.3123964928183,"MIMICS"
"86","icr030176",22.9753333547206,"MIMICS"
"87","icr030181",11.8894247389613,"MIMICS"
"88","icr030185",12.3846055983325,"MIMICS"
"89","icr030190",13.5429354113916,"MIMICS"
"90","icr030192",12.4282607361231,"MIMICS"
"91","icr030206",16.9607712094096,"MIMICS"
"92","icr030214",24.5441539703852,"MIMICS"
"93","icr030232",22.3721606749891,"MIMICS"
"94","icr030234",15.5318472314534,"MIMICS"
"95","icr030244",22.2563867560276,"MIMICS"
"96","icr030260",12.4009543105259,"MIMICS"
"97","icr030268",12.8442864898071,"MIMICS"
"98","icr030270",16.2935996294408,"MIMICS"
"99","icr030282",13.2308637115693,"MIMICS"
"100","icr030284",19.1586831942093,"MIMICS"
"101","icr030288",20.4983990725131,"MIMICS"
"102","icr030300",13.9875882015679,"MIMICS"
"103","icr030310",30.9112265410749,"MIMICS"
"104","icr030323",26.1182628661266,"MIMICS"
"105","icr030325",27.1913196401617,"MIMICS"
"106","icr030326",20.6803984681762,"MIMICS"
"107","icr030328",21.6909830013445,"MIMICS"
"108","icr030330",24.8770469294505,"MIMICS"
"109","icr030334",9.60527163692056,"MIMICS"
"110","icr030335",11.0540514377096,"MIMICS"
"111","icr030345",8.8910092852157,"MIMICS"
"112","icr030346",21.0952589164223,"MIMICS"
"113","icr030351",11.3936964519361,"MIMICS"
"114","icr030369",12.765670216713,"MIMICS"
"115","icr030370",9.33474048980786,"MIMICS"
"116","icr030375",9.33977334386931,"MIMICS"
"117","icr030379",9.40912205268773,"MIMICS"
"118","icr030381",9.20229086503468,"MIMICS"
"119","icr030386",12.1320116984379,"MIMICS"
"120","icr030393",11.4318792747128,"MIMICS"
"121","icr030397",10.7398759537302,"MIMICS"
"122","icr030409",21.397718333767,"MIMICS"
"123","icr030411",9.08518737550326,"MIMICS"
"124","icr030419",10.5116169361502,"MIMICS"
"125","icr030420",11.7331922317866,"MIMICS"
"126","icr030422",9.33515502513037,"MIMICS"
"127","icr030424",13.2694768265729,"MIMICS"
"128","icr030425",15.7189414128641,"MIMICS"
"129","icr030426",11.9806875615736,"MIMICS"
"130","icr030427",10.0157540240084,"MIMICS"
"131","icr030428",13.4863611549545,"MIMICS"
"132","icr030432",12.840936223632,"MIMICS"
"133","icr030434",10.2948018473625,"MIMICS"
"134","icr030435",10.5961411084794,"MIMICS"
"135","icr030480",11.6585800171731,"MIMICS"
"136","icr030482",12.3948548596231,"MIMICS"
"137","icr030489",12.4816108286974,"MIMICS"
"138","icr030493",9.80343915351071,"MIMICS"
"139","icr030513",15.89607787955,"MIMICS"
"140","icr030515",16.2330512910287,"MIMICS"
"141","icr030547",8.33234536856835,"MIMICS"
"142","icr033391",3.9102251363436,"MIMICS"
"143","icr033396",5.66330803628837,"MIMICS"
"144","icr033398",4.93872443270391,"MIMICS"
"145","icr033400",5.15586736367832,"MIMICS"
"146","icr033402",4.52825820910116,"MIMICS"
"147","icr033404",5.81896566063651,"MIMICS"
"148","icr033406",4.45068274858819,"MIMICS"
"149","icr033411",8.40108681906773,"MIMICS"
"150","icr033413",7.26353798340561,"MIMICS"
"151","icr033415",7.42113554923936,"MIMICS"
"152","icr033417",5.33186434961636,"MIMICS"
"153","icr033419",4.55274912760488,"MIMICS"
"154","icr033447",8.25514286074193,"MIMICS"
"155","icr033451",4.58319271355199,"MIMICS"
"156","icr033452",4.82716987124804,"MIMICS"
"157","icr033470",4.20039870623582,"MIMICS"
"158","icr033472",4.9272838750377,"MIMICS"
"159","icr033474",5.02757997189922,"MIMICS"
"160","icr033476",5.04128261157547,"MIMICS"
"161","icr033490",6.99964907423806,"MIMICS"
"162","icr033508",3.95213156831524,"MIMICS"
"163","icr033509",4.01739401346202,"MIMICS"
"164","icr033511",4.23810048739367,"MIMICS"
"165","icr033533",4.56079875858999,"MIMICS"
"166","icr033535",4.9969209860549,"MIMICS"
"167","icr033541",5.80697920992198,"MIMICS"
"168","icr033545",5.90604534562691,"MIMICS"
"169","icr033551",4.74835957121943,"MIMICS"
"170","icr033553",3.93194324573299,"MIMICS"
"171","icr033555",5.90078465391521,"MIMICS"
"172","icr033557",5.58656004831565,"MIMICS"
"173","icr033559",4.59214064077644,"MIMICS"
"174","icr033561",5.18295468907023,"MIMICS"
"175","icr033568",4.56711670300589,"MIMICS"
"176","icr033570",5.36851955983151,"MIMICS"
"177","icr033571",3.93255425554995,"MIMICS"
"178","icr033572",4.38927842069457,"MIMICS"
"179","icr033580",4.00929582747941,"MIMICS"
"180","icr033584",7.6354325902291,"MIMICS"
"181","icr033588",6.4916675005744,"MIMICS"
"182","icr033592",8.6518577820883,"MIMICS"
"183","icr033598",10.1390883621991,"MIMICS"
"184","icr033602",14.2187713845009,"MIMICS"
"185","icr033616",13.2157113713295,"MIMICS"
"186","icr033618",13.6979599945147,"MIMICS"
"187","icr033619",14.7059253020182,"MIMICS"
"188","icr033625",10.6859978237405,"MIMICS"
"189","icr033627",10.3402244033288,"MIMICS"
"190","icr033631",11.6345381746901,"MIMICS"
"191","icr033632",9.97225968543332,"MIMICS"
"192","icr033634",10.5872239182268,"MIMICS"
"193","icr033636",8.98514966949953,"MIMICS"
"194","icr033637",10.7265011158669,"MIMICS"
"195","icr033644",8.24602186172804,"MIMICS"
"196","icr033646",13.3080567974154,"MIMICS"
"197","icr033648",19.6391146595611,"MIMICS"
"198","icr033650",11.3497064345714,"MIMICS"
"199","icr033652",12.9040156303531,"MIMICS"
"200","icr033660",15.2516505156277,"MIMICS"
"201","icr033664",18.9869393314519,"MIMICS"
"202","icr033666",13.0505833735262,"MIMICS"
"203","icr033670",13.9056511427091,"MIMICS"
"204","icr033672",13.7221359608413,"MIMICS"
"205","icr033680",15.5774874205831,"MIMICS"
"206","icr033684",10.8795916193767,"MIMICS"
"207","icr033690",13.9559239879731,"MIMICS"
"208","icr033704",22.548883783755,"MIMICS"
"209","icr033710",21.8773019688352,"MIMICS"
"210","icr033716",19.3518810629113,"MIMICS"
"211","icr033724",9.27487002376163,"MIMICS"
"212","icr033727",12.6290512672707,"MIMICS"
"213","icr033729",9.80172454105578,"MIMICS"
"214","icr033732",12.2194618122293,"MIMICS"
"215","icr033738",16.5808818972025,"MIMICS"
"216","icr033748",11.582537574412,"MIMICS"
"217","icr033750",10.2820909623682,"MIMICS"
"218","icr033752",14.4450823042167,"MIMICS"
"219","icr033754",15.0108495447589,"MIMICS"
"220","icr033756",9.95536698825174,"MIMICS"
"221","icr033757",12.4917796582603,"MIMICS"
"222","icr033767",15.915000939181,"MIMICS"
"223","icr033769",16.0457826285008,"MIMICS"
"224","icr033781",10.6941364465243,"MIMICS"
"225","icr033787",10.3597739106105,"MIMICS"
"226","icr033801",9.26363619277729,"MIMICS"
"227","icr033805",6.4692871162131,"MIMICS"
"228","icr033815",17.825478068059,"MIMICS"
"229","icr033819",13.9640878036007,"MIMICS"
"230","icr033833",18.1704877427669,"MIMICS"
"231","icr033845",16.6562019823696,"MIMICS"
"232","icr033847",15.191074915664,"MIMICS"
"233","icr033863",14.8602071980138,"MIMICS"
"234","icr033869",15.240608989822,"MIMICS"
"235","icr033873",11.4779011693172,"MIMICS"
"236","icr033874",13.3967725944089,"MIMICS"
"237","icr033878",8.35529139859967,"MIMICS"
"238","icr033880",10.3932011048203,"MIMICS"
"239","icr033896",12.8824988411821,"MIMICS"
"240","icr033902",16.0967321099663,"MIMICS"
"241","icr033904",11.9836570566391,"MIMICS"
"242","icr034422",7.4831716102721,"MIMICS"
"243","icr037453",3.58981186159879,"MIMICS"
"244","icr037531",4.26569610606562,"MIMICS"
"245","icr037574",3.99256358687894,"MIMICS"
"246","icr037590",6.61501501173052,"MIMICS"
"247","icr037626",4.34471291094502,"MIMICS"
"248","icr037689",6.77983792337588,"MIMICS"
"249","icr037699",9.00038897917222,"MIMICS"
"250","icr037767",16.2719397142264,"MIMICS"
"251","icr037843",21.907012288926,"MIMICS"
"252","icr037869",17.1632678289289,"MIMICS"
"253","icr037901",22.8505281126785,"MIMICS"
"254","icr037927",14.0475123299088,"MIMICS"
"255","icr037969",16.3790747439199,"MIMICS"
"256","icr037986",23.8892432395349,"MIMICS"
"257","icr038034",19.6427404370157,"MIMICS"
"258","icr038102",40.2462418627024,"MIMICS"
"259","icr038110",17.7018344491443,"MIMICS"
"260","icr038116",32.0900729114242,"MIMICS"
"261","icr038118",19.6745933109917,"MIMICS"
"262","icr038142",19.6137156733156,"MIMICS"
"263","icr038147",18.7957187642569,"MIMICS"
"264","icr038154",26.5756419817229,"MIMICS"
"265","icr038156",24.2845366424935,"MIMICS"
"266","icr038158",19.3211892421291,"MIMICS"
"267","icr038162",27.8532306047049,"MIMICS"
"268","icr038167",25.1730013049943,"MIMICS"
"269","icr038169",17.3660220275655,"MIMICS"
"270","icr038191",25.892584914505,"MIMICS"
"271","icr038193",22.4064437456983,"MIMICS"
"272","icr038197",19.0853873170195,"MIMICS"
"273","icr038200",42.7463903770504,"MIMICS"
"274","icr038202",23.2468625501058,"MIMICS"
"275","icr038218",24.1128435919371,"MIMICS"
"276","icr038227",15.8949929868158,"MIMICS"
"277","icr038229",15.2201744064501,"MIMICS"
"278","icr038236",17.3762368537357,"MIMICS"
"279","icr038239",45.628381419395,"MIMICS"
"280","icr038242",23.0724652108967,"MIMICS"
"281","icr038249",56.6146288257409,"MIMICS"
"282","icr038263",20.5324888911646,"MIMICS"
"283","icr038273",22.2082777964952,"MIMICS"
"284","icr038281",14.4027441616707,"MIMICS"
"285","icr038288",15.391637848209,"MIMICS"
"286","icr038291",15.5672345940924,"MIMICS"
"287","icr038293",18.1437634717149,"MIMICS"
"288","icr038299",15.6498822812948,"MIMICS"
"289","icr038301",13.655802447118,"MIMICS"
"290","icr038302",16.8194561278713,"MIMICS"
"291","icr038304",15.6470405265514,"MIMICS"
"292","icr038320",15.9980129033417,"MIMICS"
"293","icr038345",16.6273603756031,"MIMICS"
"294","icr038357",28.6944169264698,"MIMICS"
"295","icr038363",20.0998460609334,"MIMICS"
"296","icr038368",18.2203735228993,"MIMICS"
"297","icr038377",36.7735852537335,"MIMICS"
"298","icr038381",28.8767046054359,"MIMICS"
"299","icr041643",6.79210520185205,"MIMICS"
"300","icr041647",8.35729401280613,"MIMICS"
"301","icr041649",11.9824090968816,"MIMICS"
"302","icr041651",8.29369305949688,"MIMICS"
"303","icr041655",5.88420000173703,"MIMICS"
"304","icr041659",7.79521840833116,"MIMICS"
"305","icr041673",17.4495563572998,"MIMICS"
"306","icr041679",8.93529928425109,"MIMICS"
"307","icr041685",11.1928784476623,"MIMICS"
"308","icr041699",7.69537419495408,"MIMICS"
"309","icr041717",8.84851462290387,"MIMICS"
"310","icr041733",7.30936611566193,"MIMICS"
"311","icr041735",9.56815674328125,"MIMICS"
"312","icr041741",8.19661591414754,"MIMICS"
"313","icr041743",9.33835097234982,"MIMICS"
"314","icr041747",9.67210729920319,"MIMICS"
"315","icr041751",7.52046801796016,"MIMICS"
"316","icr041755",8.58655738172519,"MIMICS"
"317","icr041765",10.3860632269042,"MIMICS"
"318","icr041777",7.97979056874951,"MIMICS"
"319","icr041789",6.55648031462759,"MIMICS"
"320","icr041813",7.61739448507176,"MIMICS"
"321","icr041821",9.35802234733262,"MIMICS"
"322","icr041825",12.9948385135289,"MIMICS"
"323","icr041830",8.6239790332095,"MIMICS"
"324","icr041834",13.4957016188989,"MIMICS"
"325","icr041838",7.71413307473254,"MIMICS"
"326","icr041854",7.42694289615896,"MIMICS"
"327","icr041868",6.84418568334685,"MIMICS"
"328","icr041878",9.8733846845431,"MIMICS"
"329","icr041882",8.75323160473039,"MIMICS"
"330","icr041884",8.47440974375056,"MIMICS"
"331","icr041888",9.85411142907967,"MIMICS"
"332","icr041890",8.23552164210393,"MIMICS"
"333","icr041892",8.81955526288182,"MIMICS"
"334","icr041898",9.84648677194055,"MIMICS"
"335","icr041904",7.00929169357695,"MIMICS"
"336","icr041912",7.027752483909,"MIMICS"
"337","icr041914",6.50628078845318,"MIMICS"
"338","icr041917",6.3833073004939,"MIMICS"
"339","icr041925",6.84163177239007,"MIMICS"
"340","icr041935",8.79407881184983,"MIMICS"
"341","icr041949",8.89739363956971,"MIMICS"
"342","icr041987",12.3491781925924,"MIMICS"
"343","icr041992",15.7908732567562,"MIMICS"
"344","icr041999",13.4538328797358,"MIMICS"
"345","icr042024",13.7695322176204,"MIMICS"
"346","icr042066",14.7421228337009,"MIMICS"
"347","icr042070",12.8018380759968,"MIMICS"
"348","icr042074",13.1536930447424,"MIMICS"
"349","icr042080",21.1178270375209,"MIMICS"
"350","icr042082",22.5324639065459,"MIMICS"
"351","icr042103",16.6792521840701,"MIMICS"
"352","icr042108",15.1146358560054,"MIMICS"
"353","icr042113",18.2317998116152,"MIMICS"
"354","icr042117",22.2720855203793,"MIMICS"
"355","icr042121",15.4487979252326,"MIMICS"
"356","icr042122",18.2272179203143,"MIMICS"
"357","icr042132",24.6566315615504,"MIMICS"
"358","icr042141",21.4418779057217,"MIMICS"
"359","icr042147",20.1866599392459,"MIMICS"
"360","icr042149",16.6443515554454,"MIMICS"
"361","icr042152",21.6976386986538,"MIMICS"
"362","icr042162",14.1983097777686,"MIMICS"
"363","icr042168",15.7337178713694,"MIMICS"
"364","icr042170",12.5606665253726,"MIMICS"
"365","icr042180",12.2206558733351,"MIMICS"
"366","icr042189",21.519141980925,"MIMICS"
"367","icr042191",18.2252750835856,"MIMICS"
"368","icr042193",21.8548477143284,"MIMICS"
"369","icr042203",19.8004954071965,"MIMICS"
"370","icr042204",18.5872845503053,"MIMICS"
"371","icr042210",18.6506413807641,"MIMICS"
"372","icr042239",16.4467175347541,"MIMICS"
"373","icr042241",21.8841121024683,"MIMICS"
"374","icr042245",17.989558406223,"MIMICS"
"375","icr042249",15.3335096129306,"MIMICS"
"376","icr042253",19.0844595790962,"MIMICS"
"377","icr042263",14.594908322885,"MIMICS"
"378","icr042265",12.50799615101,"MIMICS"
"379","icr042267",12.0351562529398,"MIMICS"
"380","icr042271",15.947872069459,"MIMICS"
"381","icr042273",15.0696145573221,"MIMICS"
"382","icr042275",13.4505823842291,"MIMICS"
"383","icr042279",14.0363780957168,"MIMICS"
"384","icr042280",23.4717853476946,"MIMICS"
"385","icr042282",15.8152855941093,"MIMICS"
"386","icr042790",11.6072265648967,"MIMICS"
"387","icr042836",10.5961132426503,"MIMICS"
"388","icr042867",14.119619551733,"MIMICS"
"389","icr042896",15.2535445181845,"MIMICS"
"390","icr042930",8.24554220572173,"MIMICS"
"391","icr042990",13.0997199581704,"MIMICS"
"392","icr043068",19.3510933207438,"MIMICS"
"393","icr043248",6.54165210658042,"MIMICS"
"394","icr043266",8.06242839821095,"MIMICS"
"395","icr043287",7.08634714355276,"MIMICS"
"396","icr043347",6.8450208211768,"MIMICS"
"397","icr043401",9.11524346889459,"MIMICS"
"398","icr048485",19.9021395223239,"MIMICS"
"399","icr048520",19.3945395767049,"MIMICS"
"400","icr048642",18.7535512762318,"MIMICS"
"401","icr048664",14.797828220066,"MIMICS"
"402","icr048704",15.8401002302738,"MIMICS"
"403","icr048755",6.4443921484511,"MIMICS"
"404","icr048837",5.52610194921453,"MIMICS"
"405","icr048942",7.10595031851983,"MIMICS"
"406","icr049074",5.81037336391169,"MIMICS"
"407","icr049735",16.6822196369152,"MIMICS"
"408","icr050214",10.303928573673,"MIMICS"
"409","icr050234",11.1914344765736,"MIMICS"
"410","icr050254",11.769314085291,"MIMICS"
"411","icr050274",9.91600079276877,"MIMICS"
"412","icr050294",12.7530230721263,"MIMICS"
"413","icr050354",10.8263905834157,"MIMICS"
"414","icr054165",15.8205749768397,"MIMICS"
"415","icr054175",15.2548066978705,"MIMICS"
"416","icr054181",13.1164830940856,"MIMICS"
"417","icr054187",14.6879246791922,"MIMICS"
"418","icr054188",12.5720695973891,"MIMICS"
"419","icr054190",12.7601829553893,"MIMICS"
"420","icr054194",14.5004855655317,"MIMICS"
"421","icr054201",13.7806339769755,"MIMICS"
"422","icr054205",15.4317117891664,"MIMICS"
"423","icr054214",18.5245404931569,"MIMICS"
"424","icr054222",13.6738972215925,"MIMICS"
"425","icr054232",13.6207077428941,"MIMICS"
"426","icr054234",16.1296386737909,"MIMICS"
"427","icr054250",16.427761675787,"MIMICS"
"428","icr054256",16.0518068449106,"MIMICS"
"429","icr054260",15.0167284383011,"MIMICS"
"430","icr054269",19.938959785245,"MIMICS"
"431","icr054285",17.1086352140443,"MIMICS"
"432","icr054287",15.6053811276392,"MIMICS"
"433","icr054289",13.1373501895451,"MIMICS"
"434","icr054293",13.9348811431704,"MIMICS"
"435","icr054301",14.367120027358,"MIMICS"
"436","icr054307",16.332848510123,"MIMICS"
"437","icr054309",13.4744910480412,"MIMICS"
"438","icr054315",12.9240355189968,"MIMICS"
"439","icr054317",17.7537818268743,"MIMICS"
"440","icr054321",15.5977254151794,"MIMICS"
"441","icr054322",20.102246817419,"MIMICS"
"442","icr054324",14.3929590491184,"MIMICS"
"443","icr054326",14.919930301096,"MIMICS"
"444","icr054328",16.0247649196437,"MIMICS"
"445","icr054330",18.8814874737539,"MIMICS"
"446","icr054332",18.2459158005556,"MIMICS"
"447","icr054336",14.8285218724488,"MIMICS"
"448","icr054340",11.7876120028843,"MIMICS"
"449","icr054348",15.9077065896614,"MIMICS"
"450","icr054357",16.5011404973743,"MIMICS"
"451","icr054358",14.2797027482201,"MIMICS"
"452","icr054362",17.8825923327824,"MIMICS"
"453","icr054363",17.5475046664176,"MIMICS"
"454","icr054365",14.0139285608621,"MIMICS"
"455","icr054368",13.5542981626728,"MIMICS"
"456","icr054369",20.9313586146486,"MIMICS"
"457","icr054372",23.6119096563689,"MIMICS"
"458","icr054374",16.5160932133243,"MIMICS"
"459","icr054387",23.4841429221602,"MIMICS"
"460","icr054391",14.5027630106879,"MIMICS"
"461","icr054395",13.8844694424303,"MIMICS"
"462","icr054400",17.9136153430345,"MIMICS"
"463","icr054405",15.9781711192372,"MIMICS"
"464","icr054410",17.4245967010929,"MIMICS"
"465","icr054414",17.4122144880718,"MIMICS"
"466","icr054415",23.358296592004,"MIMICS"
"467","icr054417",15.3633073648372,"MIMICS"
"468","icr054426",16.6138987013241,"MIMICS"
"469","icr054433",13.3444839338032,"MIMICS"
"470","icr054439",22.2636458860289,"MIMICS"
"471","icr054443",25.8918342932741,"MIMICS"
"472","icr054444",34.6386552447191,"MIMICS"
"473","icr054445",28.3106176108021,"MIMICS"
"474","icr054449",33.1737483813504,"MIMICS"
"475","icr054455",18.497292344502,"MIMICS"
"476","icr054471",32.9896425316123,"MIMICS"
"477","icr054476",19.4183309141129,"MIMICS"
"478","icr054479",24.0874320657396,"MIMICS"
"479","icr054506",26.2426018176201,"MIMICS"
"480","icr054509",23.9882400591187,"MIMICS"
"481","icr054510",15.1312852544753,"MIMICS"
"482","icr054520",21.9383888409601,"MIMICS"
"483","icr054521",24.3811263769671,"MIMICS"
"484","icr054522",14.7296116275338,"MIMICS"
"485","icr054523",19.272044630596,"MIMICS"
"486","icr054527",18.3859498517972,"MIMICS"
"487","icr054529",19.3065825531115,"MIMICS"
"488","icr054531",15.6918655742869,"MIMICS"
"489","icr054532",14.3202476130426,"MIMICS"
"490","icr054540",20.2223389938654,"MIMICS"
"491","icr054556",18.0348556232625,"MIMICS"
"492","icr054560",15.8232410366951,"MIMICS"
"493","icr054564",22.8091966280616,"MIMICS"
"494","icr054566",19.9250452859255,"MIMICS"
"495","icr054574",28.6241017291999,"MIMICS"
"496","icr054595",20.2812812108296,"MIMICS"
"497","icr054596",21.4252256302678,"MIMICS"
"498","icr054598",25.3236681327506,"MIMICS"
"499","icr054614",17.947206987453,"MIMICS"
"500","icr054626",11.692397016714,"MIMICS"
"501","icr054633",13.4891332798686,"MIMICS"
"502","icr054635",13.6038033080962,"MIMICS"
"503","icr054639",28.8296036171824,"MIMICS"
"504","icr054643",22.3579316909035,"MIMICS"
"505","icr054645",14.6623329174311,"MIMICS"
"506","icr054646",26.9092847937832,"MIMICS"
"507","icr054654",24.8333805251285,"MIMICS"
"508","icr054684",16.6508258742021,"MIMICS"
"509","icr054703",14.5840962983388,"MIMICS"
"510","icr054709",15.4958506030571,"MIMICS"
"511","icr054713",17.4408617135457,"MIMICS"
"512","icr056220",10.0019474294756,"MIMICS"
"513","icr056360",14.3665023939605,"MIMICS"
"514","icr056500",11.8194747584429,"MIMICS"
"515","icr062136",44.6452506425274,"MIMICS"
"516","icr062138",56.2628071979466,"MIMICS"
"517","icr062139",61.90480489653,"MIMICS"
"518","icr062141",27.9371212929237,"MIMICS"
"519","icr062143",49.1859776591565,"MIMICS"
"520","icr062145",30.5773296467142,"MIMICS"
"521","icr062149",41.0839981198916,"MIMICS"
"522","icr062151",36.5728632682994,"MIMICS"
"523","icr062153",41.8534058632137,"MIMICS"
"524","icr062157",43.2720945398689,"MIMICS"
"525","icr062159",35.9667747950763,"MIMICS"
"526","icr062165",30.6784062949147,"MIMICS"
"527","icr062167",44.789001714325,"MIMICS"
"528","icr062169",37.4988780412561,"MIMICS"
"529","icr062173",48.353274148542,"MIMICS"
"530","icr062175",58.1760090071026,"MIMICS"
"531","icr062179",28.5075402226294,"MIMICS"
"532","icr062181",39.4564246400143,"MIMICS"
"533","icr062183",37.7379688362132,"MIMICS"
"534","icr062187",35.4054492558762,"MIMICS"
"535","icr062195",40.9485463320395,"MIMICS"
"536","icr062197",44.2026206699252,"MIMICS"
"537","icr062199",44.0559058701024,"MIMICS"
"538","icr062201",34.2014384814808,"MIMICS"
"539","icr062203",28.0077862612381,"MIMICS"
"540","icr062209",32.8695305135013,"MIMICS"
"541","icr062211",41.683470135408,"MIMICS"
"542","icr062213",32.7070758363648,"MIMICS"
"543","icr062219",38.8680652286422,"MIMICS"
"544","icr062227",41.5551270906046,"MIMICS"
"545","icr062231",41.7493782841438,"MIMICS"
"546","icr062237",57.5552348688213,"MIMICS"
"547","icr062239",42.9669353325541,"MIMICS"
"548","icr062241",27.8320566710433,"MIMICS"
"549","icr062243",47.4078966568666,"MIMICS"
"550","icr062247",32.8081627427721,"MIMICS"
"551","icr062249",50.0009145605159,"MIMICS"
"552","icr062251",46.9862133247575,"MIMICS"
"553","icr062253",38.0937836161947,"MIMICS"
"554","icr062259",35.1641544107614,"MIMICS"
"555","icr062261",31.3450592447124,"MIMICS"
"556","icr062263",27.364785627459,"MIMICS"
"557","icr062265",56.3475160020409,"MIMICS"
"558","icr062267",48.5512985450724,"MIMICS"
"559","icr062280",34.9627551969385,"MIMICS"
"560","icr062281",35.8977564899606,"MIMICS"
"561","icr062285",26.9084957691908,"MIMICS"
"562","icr062287",37.8642490026298,"MIMICS"
"563","icr062289",35.4076943567657,"MIMICS"
"564","icr062292",31.878754629419,"MIMICS"
"565","icr062294",43.0195298932429,"MIMICS"
"566","icr062296",57.0320172554022,"MIMICS"
"567","icr062298",40.8703425571548,"MIMICS"
"568","icr062302",47.4000085899123,"MIMICS"
"569","icr062306",37.6919474213413,"MIMICS"
"570","icr062308",44.8135281122864,"MIMICS"
"571","icr062310",57.2226919998295,"MIMICS"
"572","icr062312",34.8101135631184,"MIMICS"
"573","icr062316",31.4054081177063,"MIMICS"
"574","icr062318",41.8364387882742,"MIMICS"
"575","icr062320",40.6193033110871,"MIMICS"
"576","icr062322",37.6171075096056,"MIMICS"
"577","icr062324",34.1826714454143,"MIMICS"
"578","icr062330",34.9913968396048,"MIMICS"
"579","icr062334",41.0550432707705,"MIMICS"
"580","icr062336",40.9281603461194,"MIMICS"
"581","icr062338",36.4749482409503,"MIMICS"
"582","icr062339",32.0619897791825,"MIMICS"
